"name2","address2","city2","zip2"
"PARADISE WINE","8965 TAMIAMI TRAIL N","NAPLES","34108"
"ORANGE LEAF FROZEN YOGURT","418 E ATLANTIC AVE","DELRAY BEACH","33483"
"DENNYS 7291","1012 SAXON BLVD","ORANGE CITY","33409"
"GOODCAT CATERING","5224 S DALE MABRY HWY","TAMPA","33611"
"PINEGROVE MARKET & DELI","1511 PINEGROVE AVE","JACKSONVILLE","32205"
"JUICE THERAPY CAFE INC","8220 GRIFFIN RD","DAVIE","33328"
"A&W ALL AMERICAN FOOD","8001 S ORANGE BLOSSOM TRL STE 210I","ORLANDO","32809"
"RED NECKEN BBQ","6561 TAYLOR RD 6","NAPLES","34109"
"ALL DAY","1035 N MIAMI AVE 102","MIAMI","33136"
"FIREHOUSE SUBS 1246","225 PALM BAY RD NE UNIT 184","WEST MELBOURNE","32904"
"DEMIS NOODLE HOUSE","1318 10 ST W","PALMETTO","34221"
"TWISTED SPOKE SALOON","5091 TAMIAMI TRL E","NAPLES","34113"
"ZOUK CARIBBEAN RESTAURANT","937 SR 7 S","PLANTATION","33317"
"UGREAN","8001 S ORANGE BLOSSOM TRL STE FC02","ORLANDO","32809"
"DENNYS RESTAURANT","12100 W SUNRISE BLV","PLANTATION","33323"
"ROSE CAFE AND CATERING LLC","38426 5TH AVENUE","ZEPHYRHILLS","33542"
"TAQUERIA TEPEYAC","2009 13 ST","SAINT CLOUD","34769"
"SATELLITE GRILL","10918 SATELLITE BLVD","ORLANDO","32837"
"SWEET CUP","2835 SW 91 ST STE 336","GAINESVILLE","32608"
"SPRINKLES & SCOOPS","3346 NE 32 ST","FT. LAUDERDALE","33308"
"CROWN FRIED CHICKEN","6854 FOREST CITY RD","ORLANDO","32810"
"A TASTE OF UP NORTH INC","18400 NW 2ND AVENUE BAY 2","MIAMI GARDENS","33169"
"PAPA ANTHONYS PIZZA","301 E ALTAMONTE DR STE 1010","ALTAMONTE SPRINGS","32701"
"WENDYS","153 CAPITOL GREEN DR","PONTE VEDRA","32081"
"THE FRONT PORCH","6804 THOMAS DR","PANAMA CITY BEACH","32408"
"GOLDEN GLORY SEAFOOD","6400 NORWOOD AVE","JACKSONVILLE","32208"
"NAGUARA K AREPAS","2751 S CHICKASAW TRAIL STE 101","ORLANDO","32829"
"OISHI JAPANESE CUISINE","7818 W IRLO BRONSON MEMORIAL HWY","KISSIMMEE","34747"
"BUSTERS BISTRO","300 S SANFORD AVE","SANFORD","32771"
"FAIRFIELD INN & SUITES","3852 N ROOSEVELT BLVD","KEY WEST","33040"
"TROPICAL SMOOTHIE CAFE","266 BLANDING BLVD 2","ORANGE PARK","32073"
"KICKIN CARIBBEAN/CRAFTY CREPES","1032 MOHAWK ST","CLEARWATER","33755"
"JIM N NICKS BBQ","1052 E JOHN SIMS PKWY","NICEVILLE","32578"
"CANE A SUCRE","21 NW MIAMI CT","MIAMI","33128"
"JAMBA JUICE","12513 STATE ROAD 535","ORLANDO","32836"
"JAMBA JUICE","8001 S ORANGE BLOSSOM TRL STE 212A","ORLANDO","32809"
"HARBOR COVE RESTAURANT","1930 HARBORTOWN DR","FORT PIERCE","34946"
"CHICKEN SALAD CHICK","2790 E FOWLER AVE SUITE 490","TAMPA","33612"
"SPECIALITY FOODS CATERING INC","112 W MITCHELL HAMMOCK RD STE 1116","OVIEDO","32765"
"KOIZUMI JAPANESE BUFFET","5200 N UNIVERSITY DR","LAUDERHILL","33351"
"MR BIGS CAFE LLC","943 15 PL","VERO BEACH","32960"
"TACOS LA BONITA INC","2006 W REYNOLDS ST STE 4","PLANT CITY","33563"
"YOGUR4U","13860 WELLINGTON TR 43","WELLINGTON","33414"
"CLANCEYS","11481 MCGREGOR BLVD","FORT MYERS","33919"
"JAR+FORK","270 E FLAGLER ST","MIAMI","33131"
"THE GREEK ON 30A","88 LYNN DR","SANTA ROSA BEACH","32459"
"TABOOLEY LLC","8347 121ST AVENUE","LARGO","33773"
"DIEGOS CRAB HOUSE","2809 S MONROE ST","TALLAHASSEE","32301"
"JKS CAFE","211 NW 1 AVE","MULBERRY","33860"
"PALMS CAFÃ","6750 SUMMERLAND BLVD","DELRAY BEACH","33446"
"JABOUR ADRIANA","20706 S DIXIE HWY","MIAMI","33189"
"JANIES SWEET DELIGHTS","1270 ESTERP BLVD UNIT B","FORT MYERS BEACH","33931"
"CHARLES & LARRY","10504 W FLAGLER ST","MIAMI","33174"
"A TASTE OF GERMANY","6575 MIDNIGHT PASS RD","SARASOTA","34242"
"TACOS MORALES","5917 NORTH ST","WIMAUMA","33598"
"BAMBU VIETNAMESE RESTAURANT","5040 W SR 46 STE 1114","SANFORD","32771"
"TWIN PEAKS RESTAURANT","2224 PALM BEACH LAKES BLVD","WEST PALM BEACH","33409"
"SUBWAY 41147","4761 S CLEVELAND AVE","FORT MYERS","33907"
"DY TO ROBERTO","4880 DISTRIBUTION COURT","ORLANDO","32822"
"BACKSTRETCH KITCHEN AT CALDER","21001 NW 27TH AVE","MIAMI GARDENS","33056"
"F27 INC","7580 NE 4TH COURT","MIAMI","33138"
"YIKES","268 W AVE","WEWAHITCHKA","32465"
"MENCHIES FROZEN YOGURT","2107 E SEMORAN BLVD UNIT E","APOPKA","32703"
"FORMAGGIOS BISTRO & WINE BAR","2441 NW 43 ST 12","GAINESVILLE","32606"
"MOTAMBO CARIBBEAN JERK CHICKEN","12708 FRONT BEACH RD","PANAMA CITY BEACH","32407"
"SLUGGOS SMOKED MEATS","6101 ANNO AVE","ORLANDO","32809"
"HOT FRANKS","4880 DISTRIBUTION CT UNIT 1&2","ORLANDO","32822"
"UNCLE CHICKENS SMOKEHOUSE AND GRILL","2441 BELLEVUE AVE EXTENSION","DAYTONA BEACH","32114"
"CAFFE MILANO","800 5 AVE S","NAPLES","34102"
"COLDWATER GARDENS","10567 COLDWATER GARDENS CIRCLE","MILTON","32570"
"PATCHES","403 US 1 N","ORMOND BEACH","32174"
"GUSTO ITALIAN RESTAURANT","1266 BEACH BLVD","JACKSONVILLE BEACH","32250"
"EMBRAER HOLDING","1205 GENERAL AVIATION DR","MELBOURNE","32935"
"EMBRAER HOLDING","1400 GENERAL AVIATION DR","MELBOURNE","32935"
"THE LATIN FLAVOR","116 W HILLSBOROUGH AVE","TAMPA","33604"
"EL MOLCAJETE RESTAURANT CORP","1622 OVERSEAS HWY","MARATHON","33050"
"THE MAINSTREET CAFE","6820 CAROLINE ST","MILTON","32570"
"PAPA MURPHYS PIZZA","4771 BAYOU BLVD 14","PENSACOLA","32503"
"J&J SOUL FOOD","361 NW 27 AVE","POMPANO BEACH","33069"
"TUCKER DUKES BURGERS & SEAFOOD","113 A JOHN SIMS PKWY","NICEVILLE","32578"
"BENITOS ITALIAN CAFE & PIZZERIA","155 HAMPTON POINT DR","SAINT AUGUSTINE","32092"
"LEMON BAY GOLF CLUB","9600 EAGLE PRESERVE DRIVE","ENGLEWOOD","34224"
"ASADOS EL PASSA","13726 SW 88 ST","MIAMI","33186"
"HANA JAPANESE STEAKHOUSE AND SUSHI LOUNGE","30 HANCOCK BRIDGE PKWY W UNIT 112","CAPE CORAL","33991"
"CAFE 1000","1000 BRICKELL AVE STE 139","MIAMI","33131"
"DOMINOS PIZZA","4761 TAMIAMI TRL N","NAPLES","34103"
"SPOLETO","8001 SOUTH ORANGE BLOSSOM TRAIL SUITE 199","ORLANDO","32809"
"J72 CHEFS CAFE LLC","3712 DAVIE RD","DAVIE","33314"
"RACK CITY RIBZ LLC","6614 CLAIR SHORE DRIVE","APOLLO BEACH","33572"
"JAGUA BAY","10786 10788 S US HWY 1","PORT SAINT LUCIE","34952"
"SANTIONIS CUCINA ITALIANA","11531 SAN JOSE BLVD 8","JACKSONVILLE","32223"
"ICE LOUNGE BAR & GRILLE","5522 SOUTEL DR","JACKSONVILLE","32219"
"GRUMPYS DINER","6220 MANATEE AVE W STE 103","BRADENTON","34209"
"LA BRASSERIE","5500 COLLINS AVE","MIAMI BEACH","33140"
"RACK AND CUE 2","3701 ANDREW AVE","PENSACOLA","32505"
"TROPICS FROZEN YOGURT INC","1441 TAMIAMI TRAIL SUITE 711A","PORT CHARLOTTE","33948"
"STATION 28","91 SE 2ND STREET","MIAMI","33131"
"ANTONIOS RISTORANTE","518 HIGHWAY 98","APALACHICOLA","32320"
"BLACK ROOSTER TAQUERIA","1323 MILLS AVENUE","ORLANDO","32803"
"3 SQUARES TO GO INC","3945 ST JOHNS AVENUE","JACKSONVILLE","32205"
"OPHELIAS ON THE BAY","9105 MIDNIGHT PASS RD","SARASOTA","34242"
"EAST WOK WPB","638 BELVEDERE RD","WEST PALM BEACH","33405"
"CORNERSTONE NUTRITION","3706 WEBBER ST","SARASOTA","34232"
"WILLIE MAES KITCHEN","64 WEST 21ST STREET","RIVIERA BEACH","33404"
"SERENDIPITY CREAMERY","425 NW 26TH AVE","MIAMI","33127"
"SCOTTO PIZZA","1700 W NEW HAVEN AVE STE 381","MELBOURNE","32904"
"MESA MAR","264 GIRALDA AVE","CORAL GABLES","33134"
"LUCKY 23 PIZZA","8927 W OAKLAND PARK BLVD","SUNRISE","33351"
"QUINCO SKYBOX GRILL & LOUNGE","4304 METRIC DR","WINTER PARK","32792"
"HURRICANE ALLEYS CHOWDER TRUCK N SNACK SHACK","1225 W MANGO STREET","LANTANA","33462"
"HAPA LI","4345 GRAN MEADOWS LN S","JACKSONVILLE","32258"
"LAS PALMERAS CAFETERIA","5615 NW 176 ST","CAROL CITY","33055"
"HURRICANE GRILL & WINGS","11071 SOUTHERN BLVD 170","ROYAL PALM BEACH","33411"
"V PIZZA","12601 SAN JOSE BLVD","JACKSONVILLE","32223"
"CYPRESS CAFE","3055 CYPRESS GARDEN RD","WINTER HAVEN","33884"
"SUBWAY 35010","4700 S FLAMINGO RD","COOPER CITY","33330"
"TITOS GRILL","4981 W COLONIAL DR","ORLANDO","32808"
"MEDITERRANEAN PLATE","10300 W FOREST HILL BLVD FC103","WELLINGTON","33414"
"JETS PIZZA","3234 S FLORIDA AVE STE A","LAKELAND","33803"
"COUNTRY BINGO DELI","4450 DIXIE HWY","PALM BAY","32905"
"SUNSHINES KITCHEN","16668 WINNERS CIR","DELRAY BEACH","33446"
"LAREDO MEXICAN RESTAURANT","2620 BLANDING BLVD 17","MIDDLEBURG","32068"
"JOES FAMILY RESTAURANT INC","911 W MAIN ST","INVERNESS","34450"
"SMASHBURGER","1660 W TENNESSEE ST  2","TALLAHASSEE","32304"
"HURRICANE GRILL & WINGS","6510 CORTEZ RD","BRADENTON","34210"
"FROGU YOGU","880 S SR 7 2","WELLINGTON","33414"
"MOJO GRILL & CATERING COMPANY","2015 SW 17 ST","OCALA","34471"
"GRAND BEACH HOTEL","4835 COLLINS AVE","MIAMI BEACH","33140"
"YAHMAN","6404 FRONT STREET","KEYWEST","33040"
"NEGRIL SPICE","114 S SANFORD AVE","SANFORD","32771"
"ANITAS MEXICAN RESTAURANT LLC","114 W CENTRAL AVE","LAKE WALES","33853"
"ONE TWENTY THREE BURGER HOUSE","123 KING ST","SAINT AUGUSTINE","32084"
"LOS CHIFLADOS BUSINESS COUNTER","1428 SUNRISE PLAZA DR 7","CLERMONT","34714"
"DAIRY QUEEN","10830 N 56 ST","TEMPLE TERRACE","33617"
"BAD BARTS LLC","8150 MAHAN DRIVE","TALLAHASSEE","32309"
"BJS RESTAURANT & BREWHOUSE","5100 N 9 AVE","PENSACOLA","32504"
"JIM N NICKS BAR B Q","14073 EMERALD COAST PKWY","DESTIN","32541"
"LOS TAQUITOS MEXICAN FOOD","4217 PALM BEACH BLVD","FORT MYERS","33905"
"BEST MIAMI HOTEL","5959 SW 71 ST","MIAMI","33143"
"BUENOS AIRES CAFE","2364 N FEDERAL HWY","FORT LAUDERDALE","33305"
"CONEHEADS","3811 W IOWA AVE","TAMPA","33616"
"GRAFFITI JUNKTION 6","9344 NARCOOSSEE RD","ORLANDO","32827"
"CICIS PIZZA 333","900 DUNN AVE 10","JACKSONVILLE","32218"
"CICIS PIZZA 372","4495 ROOSEVELT BLVD 106","JACKSONVILLE","32210"
"TAQUERIA GUERRERO INC 3","2690 S MILITARY TRAIL","WEST PALM BEACH","33415"
"ISLAND QUEEN CAFÃ CRUISES & TOURS","401 BISCAYNE BLVD 5590","MAIMI","33132"
"AREPAS EL CACAO KISSIMMEE","3180 S JOHN YOUNG PKWY","KISSIMMEE","34746"
"LA PAELLA THE FRESH SPANISH EXPERIENCE","701 S ROSEMARY STE 313","WEST PALM BEACH","33401"
"PARTY FRESH PAELLA LLC","387 NE 167 ST","NORTH MIAMI BEACH","33162"
"SONIC BEACH","11900 HIALEAH GARDENS BLVD","HIALEAH GARDENS","33018"
"SONIC DRIVE IN 6505","2021 THOMAS DR","PANAMA CITY","32408"
"FALAFEL INN MED","777 N ASHLEY DR STE B","TAMPA","33602"
"LIGIA MARTINEZ CAFE","1500 NW 95 AVE","MIAMI","33172"
"MAHAHONG THAI FOOD & WING 1","1551 NW 6 ST","FORT LAUDERDALE","33311"
"CHOPSTICK HOUSE","9850 ALT A1A 503","PALM BEACH GARDENS","33410"
"SUGAR MAMA PLACE","529 WEST 21 STREET","JACKSONVILLE","32209"
"THE FOOD CLUB CORP","387 NE 167 ST","NORTH MIAMI BEACH","33162"
"UNCLE EDDIES BBQ INC","4719 CAPE HATTERAS DR","CLERMONT","34714"
"THE MUSTANG GRILL AND BAR","13232 SW SR 45","ARCHER","32618"
"THE INSPIRED CHEF","6152 126 AVE STE 500","LARGO","33773"
"SOUZOU","435 5TH AVE N","ST. PETERSBURG","33701"
"FREDDO","1100 S MIAMI AVE CU1","MIAMI","33130"
"SANSUSHITO","121 N 20TH AVE","HOLLYWOOD","33020"
"MIAMI SUBS & CAFE","4905 NW 72 AVE 1","MIAMI","33166"
"SOUTHPAW GRILL","6705 PINE FOREST RD STE 600","PENSACOLA","32526"
"B SQUARE","1021 E LAS OLAS","FORT LAUDERDALE","33301"
"BURGER KING","8907 US 301 N","PARRISH","34219"
"SERVANDOS","14107 W COLONIAL DR","WINTER GARDEN","34787"
"SUPER 8 MOTEL","402 HUGH ADAMS RD","DEFUNIAK SPRINGS","32433"
"CRAZY EMPANADA LLC","1778 MIRA LAGO CIR","RUSKIN","33570"
"GOURMET KILLER DOGS","4057 W ATLANTIC AVE","DELRAY BEACH","33445"
"REDBERRY FROZEN YOGURT","1024 HIGHWAY A1A STE 106","SATELLITE BEACH","32937"
"SMOOTHIE KING","2254 ALOMA AVE","WINTER PARK","32792"
"SAMUELS ROADHOUSE","114 JOHN KING RD","CRESTVIEW","32539"
"THE GRILLE AT BELLA LAGO","1210 LAGO VISTA CT","KISSIMMEE","34746"
"CLUB NINETEEN","10500 TAFT ST","PEMBROKE PINES","33026"
"MISS ELAINES LTD CO","112 W MITCHELL HAMMOCK RD 1116","OVIEDO","32765"
"CARMELITAS RESTAURANT","9714 N NEBRASKA AVE","TAMPA","33612"
"CELEBRITYS SPORTS AND GRILL","6518 N 40 ST","TAMPA","33610"
"LA PLAYA BEACH & GOLF RESORT BALEEN","9891 GULFSHORE DR","NAPLES","34108"
"DUNKIN DONUTS","8014 CONROY WINDERMERE RD","ORLANDO","32835"
"LUCKY PELICAN BISTRO","6239 LAKE OSPREY DR","SARASOTA","34240"
"BLU GIN","5445 COLLINS AVE SUITE CU 2A","MIAMI BEACH","33140"
"PINCHO FACTORY","4950 W 12 AVE","HIALEAH","33012"
"JOELS PIZZA PALACE","1028 BLOOMINGDALE AVE","VALRICO","33596"
"MAISON & JARDIN","430 WYMORE RD","ALTAMONTE SPRINGS","32714"
"CLUB CONTINENTAL CABANA","2143 ASTOR ST","ORANGE PARK","32073"
"POOHCHELLOS","4630 SW 21 ST","WEST PARK","33023"
"WHISTLE STOP","499 NE SPANISH RIVER BLVD 395","BOCA RATON","33431"
"ICON","860 OCEAN DR","MIAMI BEACH","33139"
"PINK PIG PIZZERIA","441 HWY 98","APALACHICOLA","32320"
"EL GRAN MAR DE PLATA RESTAURANT & LOUNGE","10325 HAMMOCKS BLVD","MIAMI","33196"
"COUNTER CULTURE VERO","1901 14 AVE","VERO BEACH","32960"
"ANTOJITOS MEXICANOS INC II","790 SW FEDERAL HWY","STUART","34994"
"DESI BY NATURE","1251 E FOWLER AVE STE B2","TAMPA","33612"
"JAX COMMISSARY KITCHEN","1712 OGILVIE PARK LN","JACKSONVILLE","32246"
"TU PIZZA","800 E HALLANDALE BEACH BLVD 26","HALLANDALE BEACH","33009"
"NATALIAS PASTA & PASTA","771 NE 5 ST","CRYSTAL RIVER","34429"
"WOK N ROLL","1670 WELLS RD 108","ORANGE PARK","32073"
"WAYL OF A TIME CATERING","204 N MORGAN ST","TAMPA","33602"
"THE TURTLE CLUB","139 W MARION AVE","PUNTA GORDA","33950"
"PANERA BREAD BAKERY","10950 SW VILLAGE PKWY","PORT ST LUCIE","34987"
"CHICKEN SALAD CHICK","12101 UNIVERSITY BLVD STE 201","ORLANDO","32817"
"TACO BELL 31597","2575 E HILLSBOROUGH AVENUE","TAMPA","33610"
"KURBSIDE TREATS","1365 NORTH US HIGHWAY 27","MOORE HAVEN","33471"
"CAPTAIN BILLS BEACH KITCHEN","145 107 AVE","TREASURE ISLAND","33706"
"CREPE LA RUS/ MATRYOSHKA","285 PAYNE ST 12B","MIRAMAR BEACH","32550"
"LA VELA","712 716 E NEW HAVEN AVENUE","MELBOURNE","32901"
"GRETCHENS COUNTRY KITCHEN","1811 NE 2ND PLACE","CAPE CORAL","33909"
"DOG DAYZ LLC","11653 COUNTRYWAY BLVD","TAMPA","33626"
"BOURBON EXPRESS","12317 UNIVERSITY MALL CT 10","TAMPA","33612"
"WILD HOGGS GRILL","4101 CR 561","TAVARES","32778"
"TACOS EXPRESS","9785 S ORANGE BLOSSOM TRL","ORLANDO","32837"
"WINGSTOP","1344 W INTERNATIONAL SPEEDWAY BLVD","DAYTONA BEACH","32114"
"CHEZ LEPICIER","288 S COUNTY RD","PALM BEACH","33480"
"BACKWATER","1904 MUNICIPAL LANE","MELBOURNE","32901"
"CEVICHE 41","26455 OLD US 41 19","BONITA SPRINGS","34135"
"NONNA MARIAS PIZZERIA","34 N US 17 92","DEBARY","32713"
"LA PLAYA BEACH & GOLF RESORT CLUB","9891 GULF SHORE DR","NAPLES","34108"
"LA PLAYA BEACH & GOLF RESORT TIKI GRILL","9891 GULF SHORE DR","NAPLES","34108"
"LA PLAYA BEACH & GOLF RESORT BANQUET KITCHEN","9880 GULF SHORE DR","NAPLES","34108"
"GILS ROLLING KITCHEN","4880 DISTRIBUTION COURT","ORLANDO","32822"
"HAUTE NOODLE MARKET & EATERY","3201 CORRINE DR","ORLANDO","32803"
"TACO BELL","8001 S ORANGE BLOSSOM TRL STE 210C","ORLANDO","32809"
"JIMMY JOHNS GOURMET SANDWICH STORE 3187","10195 BAY PINES BLVD STE 106","SEMINOLE","33708"
"MCDONALDS 36729","10319 COUNTYLINE ROAD","SPRING HILL","34609"
"POLLO TROPICAL","825 E 49 ST","HIALEAH","33013"
"DOMINOS PIZZA","630 N 3 ST","JACKSONVILLE BEACH","32250"
"CAP CITY GOURMET LLC","1307 N MONROE ST","TALLAHASSEE","32303"
"CENTERPLATE","4600 BRUCE HEARD LN","FORT MYERS","33905"
"CASTELLUCCIO RESTAURANT","146 GIRALDA AVE","CORAL GABLES","33134"
"BILLY BONES BARBEQUE & FIRE GRILL","10031 HUTCHINSON BLVD","PANAMA CITY BEACH","32407"
"BURLINGAME","20 S 5TH ST","FERNANDINA BEACH","32034"
"FERNANDEZ THE BULL CUBAN CAFE & BAR","3775 PINE RIDGE RD 101 & 102","NAPLES","34109"
"MARIO LOPEZ MOBILE FOOD","120 N 3 ST","IMMOKALEE","34142"
"HAMA NOMA","1310 VERMONT AVE","LYNN HAVEN","32444"
"CITY OF WINTER HAVEN (DIAMONDPLEX)","900 POLK STATE COLLEGE ACCESS ROAD","WINTER HAVEN","33881"
"JARAGUA RESTAURANT & LOUNGE","1298 NW 29 STREET","MIAMI","33142"
"CINEBISTRO AT SIESTA KEY","3501 S TAMIAMI TRAIL ST 1100","SARASOTA","34239"
"THE BIER BOUTIQUE","1421 FIRST ST","KEY WEST","33040"
"BEEFS EXPRESS","1614 TOWNE CENTER DR","LAKELAND","33803"
"MOJO GRILL & CATERING COMPANY","4496 SE 100 PL","BELLEVIEW","34420"
"CANYONS CANTEEN","1860 W HWY 326","OCALA","34475"
"THE MARKET AT BAHIA MAR","801 SEABREEZE BLVD","FORT LAUDERDALE","33316"
"ROCKIN TACOS","1450 MIRACLE STRIP PKWY UNIT 203","FORT WALTON BEACH","32548"
"ECLECTIC EATS","1731 N FEDERAL HWY","DELRAY BEACH","33483"
"JIMMY JOHNS","16240 SUMMERLIN RD 301","FORT MYERS","33908"
"HACIENDA HOSPITALITY LLC","1200 N MORSE BLVD","LADY LAKE","32159"
"BAPS SHAYONA LLC","541 SE 18 AVE","BOYNTON BEACH","33435"
"PATTAYA THAI RESTAURANT","1526 KING ST","JACKSONVILLE","32204"
"FUNKY BUDDHA BREWERY BAR","1201 NE 38 ST","OAKLAND PARK","33334"
"ALOHA TO GO","19711A GULF BLVD","INDIAN SHORES","33785"
"MAPLE STREET BISCUIT COMPANY","1600 W CALL ST STE 114","TALLAHASSEE","32304"
"JERSEY MIKES SUBS 13029","817 HARBOR BLVD","DESTIN","32541"
"MY CEVICHE","232 MIRACLE MILE","CORAL GABLES","33134"
"BEST WESTERN PLUS WINDSOR GARDENS HOTELS & SUITES","11360 US 1","PALM BEACH GARDENS","33408"
"PICCOLA ITALIA","2389 CORAL WAY","MIAMI","33145"
"GERRYS T CATERING LLC","10934 SE HWY 4431 & 110TH ST","BELLEVIEW","34421"
"CALFAY RESTAURANT","3300 1ST ST W","BRADENTON","34208"
"CHOPSTIX KOREAN RESTAURANT","326 EGLIN PKWY NE","FORT WALTON BEACH","32547"
"THE DUNEDIN SMOKEHOUSE","471 MAIN ST","DUNEDIN","34698"
"MARIO HOTDOG","2601 NW 39 AVE","MIAMI","33142"
"THE ATRIUM CAFÃ LLC","3501 HEALTH CENTER BLVD","BONITA SPRINGS","34135"
"CRYSTAL RIVER SONIC LLC","310 US 19 SE","CRYSTAL RIVER","34429"
"HARRYS PIZZERIA","2996 98 MCFARLANE RD","MIAMI","33133"
"SPRING HILL SONIC","4667 COMMERCIAL WAY","SPRING HILL","34606"
"ASADOS AL CARBON","7212 N ARMENIA AVE","TAMPA","33604"
"CAFE YOU","1423 SE 10 ST 1A","CAPE CORAL","33990"
"STELLINOS TRATTORIA & BAR","8550 NW 53 ST STE B107","DORAL","33166"
"AI","1780 WELLS RD","ORANGE PARK","32073"
"MONTYS RAW BAR","2550 S BAYSHORE DR","MIAMI","33133"
"HEAVENLY CAFE & BAKERY LLC","5901 NW 151 ST 104B","MIAMI LAKES","33014"
"PRIME EMPANADA & CATERING","588 HIGHWAY A1A","SATELLITE BEACH","32937"
"LOBSTER CRAWL BAR & GRILL","70001 OVERSEAS HWY 1","LONG KEY","33001"
"BIG CITY BBQ","1712 OGILVIE PARK LANE","JACKSONVILLE","32246"
"PANARIELLOS","466 SW PORT ST LUCIE BLVD STE 119 ","PORT ST LUCIE","34953"
"PARK SQUARE PRIME SMOKEHOUSE","16132 CHURCHVIEW DR 101","LITHIA","33547"
"EL ALACRAN AUTHENTIC MEXICAN RESTAURANT & SEAFOOD","32 E CYPRESS STREET","WINTER GARDEN","34787"
"KING AREPAS INC","102 PEONY CT","BRADENTON","34212"
"AARONS CATERING","9605 NW 79TH AVE 16&17","HIALEAH GARDENS","33016"
"GOOD BAGEL","1301 S PATRICK DR","SATELLITE BEACH","32937"
"MYRA JEANS RESTAURANT LLC","2669 CRAWFORDVILLE HWY","CRAWFORDVILLE","32327"
"CARYS CAFE","11865 SW 26 ST J10","MIAMI","33175"
"ASIAN PEARL","2551 DREW ST 104","CLEARWATER","33765"
"EL SURENO LATIN GRILL","2420 CURRY FORD RD","ORLANDO","32806"
"CHILL SPOT AT THE FLEA LLC","3161 W OAKLAND PARK BLVD","OAKLAND PARK","33309"
"OLD KEY WEST BAR & GRILL","2451 CENTRAL AVE","ST. PETERSBURG","33713"
"WHICH WICH","4285 LEGENDARY DR J116","DESTIN","32541"
"CUCINA ITALIANA","9800 INTERNATIONAL DR","ORLANDO","32819"
"CORDOBESITA ARGENTINEAN CATERING LLC","1431 RAIL HEAD BLVD 1","NAPLES","34110"
"I LOVE CUPCAKES & EXECCHEF CATERING","13220 BELCHER ROAD SOUTH","LARGO","33773"
"DOMINOS PIZZA WEBBER","3692 WEBBER","SARASOTA","34232"
"HATFIELDS COUNTRY MUSIC","4024 PAUL S BUCHMAN HIGHWAY","ZEPHYRHILLS","33542"
"YANKS FRANKS","9071 S TAMIAMI TRL","VENICE","34293"
"VANILLA CAFÃ","413 ESPANOLA WAY","MIAMI","33139"
"RUSTY BUCKET RESTAURANT & TAVERN","257 N CATTLEMEN RD 81","SARASOTA","34243"
"ZIRIS EMPORIUM","7085 NW 173 DR APT 411","HIALEAH","33015"
"JIMMY JOHNS","1501 E COMMERCIAL BLVD","FORT LAUDERDALE","33334"
"FETTA REPUBLIC","2420 N FEDERAL HIGHWAY","LIGHTHOUSE POINT","33064"
"CORAZON","27670 BERMONT RD UNIT B 1","PUNTA GORDA","33982"
"KYODAI JAPANESE STEAKHOUSE","210 ORANGE PARK N PARKWAY","ORANGE PARK","32073"
"EL PALASO DE LOS JUGOS","301 E 52 ST","HIALEAH","33013"
"COASTAL PERUVIAN SEAFOOD & GRILL","5447 AIRPORT PULLING RD","NAPLES","34109"
"DANKETSU","11425 LAKE UNDERHILL RD","ORLANDO","32825"
"EL GRAN TACO LOCO","190 S 3RD ST","IMMOKALEE","34142"
"IZZIBAN SUSHI & BBQ IN LAUDERHILL","7225 W OAKLAND PARK BLVD","LAUDERHILL","33313"
"JON SMITH SUBS","10120 FOREST HILL BLVD 170","WELLINGTON","33414"
"AMERICAS BISTRO INTERNATIONAL FOOD","9614 PINES BLVD","PEMBROKE PINES","33025"
"ZOES KITCHEN","5930 RED BUG LAKE RD","WINTER SPRINGS","32708"
"OLD POST OFFICE ANTIQUES & CAFE","6821 CAROLINE ST","MILTON","32570"
"FIVE STAR PIZZA","210 SW 2 AVE","GAINESVILLE","32601"
"KIYOSHI SUSHI","6550 GATEWAY AVE","SARASOTA","34231"
"RODEOS BRAZILIAN GRILL","9825 SAN JOSE BLVD 20","JACKSONVILLE","32257"
"JUNKANOO ON THE BEACH","3040 ESTERO BLVD","FORT MYERS BEACH","33931"
"FRESH CATCH BISTRO","3040 ESTERO BLVD","FORT MYERS BEACH","33931"
"CHINA PANDA","7376 LAKE WORTH RD","LAKE WORTH","33467"
"ELEGANT AFFAIRS CATERING","7111 W COMMERCIAL BLVD","TAMARAC","33319"
"INDIAN FUSION RESTAURANT","6426 BOWDEN RD UNIT 2","JACKSONVILLE","32216"
"CULINAIRE DE LAFRIQUE","3200 COLONIAL DR","ORLANDO","32808"
"THE OAKS GOLF COURSE","1264 CR 309","CRESCENT CITY","32112"
"RESTAURANTE LA CASCADA INC","5004 N ARMENIA AVE","TAMPA","33603"
"SAUDERS LANDING","9815 S OCEAN DR","JENSEN BEACH","34957"
"LA DOLCE VITA","4135 DR MARTIN LUTHER KING JR BLV BLUE12","FORT MYERS","33916"
"ARBORS HILLS LLLP","4145 LAKELAND HILLS BLVD","LAKELAND","33805"
"THE SALTY CRAB BAR & GRILL","1154 ESTERO BLVD","FORT MYERS BEACH","33931"
"SHIPWRECK BEACH CLUB","12006 FRONT BEACH RD","PANAMA CITY BEACH","32407"
"TAQUERIA LA CARRETA","911 W N BLVD","LEESBURG","34748"
